Cell Type,Gene Name,Score
Plasma cells,RANBP3L,0.00587739422917366
Plasma cells,RASD2,0.008466280996799469
Plasma cells,RASL10A,0.004542313050478697
Plasma cells,RERGL,0.027658002451062202
Plasma cells,RGPD2,0.007291275076568127
Plasma cells,RIMS3,0.004647864028811455
Plasma cells,RNASE2,0.0031428374350070953
Plasma cells,RXFP1,0.0038439566269516945
Plasma cells,S100A5,0.023728080093860626
Plasma cells,S100B,0.004898259416222572
Plasma cells,SLC23A1,0.009791211225092411
Plasma cells,SLC26A10,0.004146890249103308
Plasma cells,SLC28A3,0.008760799653828144
Plasma cells,SMOC2,0.003687803167849779
Plasma cells,SNAP25,0.00916227512061596
Plasma cells,SPTB,0.007927032187581062
Plasma cells,SRPK3,0.009986316785216331
Plasma cells,STAC2,0.014460556209087372
Plasma cells,TENM1,0.0030198865570127964
Plasma cells,TM4SF18,0.0049468292854726315
Plasma cells,TMEM178B,0.008254852145910263
Plasma cells,TNFRSF13B,0.003950451500713825
Plasma cells,TNFRSF13C,0.003234793897718191
Plasma cells,TNIP3,0.004685044754296541
Plasma cells,TNN,0.04139959067106247
Plasma cells,TNS4,0.0032038067001849413
Plasma cells,TOP2A,0.006659993436187506
Plasma cells,TP53AIP1,0.006796605419367552
Plasma cells,TREML1,0.006403828971087933
Plasma cells,TRIM36,0.0030383069533854723
Plasma cells,TRPV3,0.007035440765321255
Plasma cells,TVP23A,0.003019833704456687
Plasma cells,TYMS,0.0033206804655492306
Plasma cells,VIPR2,0.009420743212103844
Plasma cells,VWA5B1,0.01583881303668022
Plasma cells,WNT10A,0.0032878872007131577
Plasma cells,WNT10B,0.008054185658693314
Plasma cells,WNT11,0.0038738513831049204
Plasma cells,ZNF215,0.004501754883676767
Plasma cells,ZNF385D,0.0037152396980673075
Plasma cells,ZNF487,0.005150983110070229
Plasma cells,ZNF829,0.008464314043521881
Plasma cells,BLK,0.004605286289006472
Plasma cells,CXCL14,0.004481423646211624
Plasma cells,MMP12,0.029278390109539032
