,SPP1+ macrophages,AT2,MUC5B+ club,Monocyte-derived macrophage,CD4+ T Cells,EC Arterial,CD8+ T Cells,Dendritic cells,Alveolar macrophages,Smooth muscle cells,Mast cells,KRT5-/KRT17+ cells,Fibrotic fibroblast,EC Venous,SCGB3A2+/SCGB1A1+ club,Plasma cells,Goblet,Ciliated,Pericyte,EC General capillary
PLAUR,0.0004299999854993075,0.00042000002576969564,0.0,0.00042333334567956626,0.00039000000106170774,0.0004299999854993075,0.0,0.0004209090839140117,0.0003955556021537632,0.0,0.00043999997433274984,0.0004299999854993075,0.00042000002576969564,0.0004299999854993075,0.0,0.0,0.0,0.0,0.0004199999966658652,0.0004400000034365803
F3,0.0,0.0004215555381961167,0.00041000000783242285,0.0004299999854993075,0.0004000000189989805,0.0,0.0,0.0,0.00039999998989515007,0.00041000000783242285,0.0,0.0004199999966658652,0.00040333333890885115,0.0,0.00044750000233761966,0.0,0.0,0.0004133333277422935,0.0,0.0
RAF1,0.0,0.0004266666655894369,0.00043000001460313797,0.0004199999966658652,0.0004000000189989805,0.0004450000124052167,0.0004600000102072954,0.0004249999765306711,0.0004166666476521641,0.0004400000034365803,0.0,0.00040333333890885115,0.00042666669469326735,0.0,0.0004600000102072954,0.0,0.0,0.0004250000056345016,0.0,0.0
CDK4,0.0,0.0004190909385215491,0.0,0.00044666664325632155,0.0004199999966658652,0.0,0.0003499999875202775,0.0004400000034365803,0.00039999998989515007,0.0,0.00042333334567956626,0.00041000000783242285,0.0004139999800827354,0.0004400000034365803,0.0,0.0,0.0,0.0,0.0,0.0004400000034365803
SUPT5H,0.0,0.0004225000157020986,0.00041000000783242285,0.0004199999966658652,0.0004085714463144541,0.0,0.0004600000102072954,0.0004199999966658652,0.00039499998092651367,0.0004400000034365803,0.0004199999966658652,0.0004199999966658652,0.00041749997762963176,0.0004333333345130086,0.00044999999227002263,0.0,0.0,0.00041000000783242285,0.0004299999854993075,0.0
BCL6,0.0,0.00042222219053655863,0.0004199999966658652,0.0004149999876972288,0.00040499999886378646,0.0004333333345130086,0.0004400000034365803,0.0004299999854993075,0.00039999998989515007,0.0004299999854993075,0.0004199999966658652,0.00039000000106170774,0.0004183333076070994,0.0,0.0004433333233464509,0.0004299999854993075,0.0004199999966658652,0.00042333334567956626,0.0,0.0
EGFR,0.0,0.0004235713859088719,0.0004166666476521641,0.0004199999966658652,0.00038666665204800665,0.0004199999966658652,0.0,0.0,0.00041000000783242285,0.00043000001460313797,0.0,0.0004259999841451645,0.00042400002712383866,0.0004333333345130086,0.0004400000034365803,0.0,0.0,0.0004249999765306711,0.00042333328747190535,0.0004299999854993075
CITED2,0.0,0.00042043477878905833,0.0,0.00043999997433274984,0.0004099999787285924,0.0004299999854993075,0.0,0.0004199999966658652,0.0004033333098050207,0.0,0.0,0.0,0.0004250000056345016,0.0,0.0,0.00047500000800937414,0.0,0.0,0.0,0.0
PDCD10,0.0,0.0004333333345130086,0.0004199999966658652,0.0004199999966658652,0.00041500001680105925,0.0004479999770410359,0.00041000000783242285,0.0004299999854993075,0.00041249996866099536,0.0004250000056345016,0.0003600000054575503,0.0004000000189989805,0.0004166666476521641,0.0004199999966658652,0.0,0.0004799999878741801,0.0,0.00039999998989515007,0.00041000000783242285,0.0
MAPKAPK5,0.0,0.000441250012954697,0.0004400000034365803,0.0,0.0004137499781791121,0.00044999999227002263,0.0,0.0004349999944679439,0.0004166666476521641,0.0,0.0004400000034365803,0.00042857142398133874,0.0004216666566208005,0.0004474999732337892,0.00046999999904073775,0.0,0.0,0.0004400000034365803,0.0004299999854993075,0.0004400000034365803
SREBF1,0.000455000001238659,0.0004433333233464509,0.0004349999944679439,0.0004299999854993075,0.0004249999765306711,0.0,0.00044999999227002263,0.00046999999904073775,0.00041000000783242285,0.0,0.0,0.0004357142897788435,0.0004374999844003469,0.0,0.00046999999904073775,0.0004299999854993075,0.0,0.00044999999227002263,0.0,0.00044999999227002263
IRF7,0.0,0.0004600000102072954,0.0,0.00046999999904073775,0.0004433333233464509,0.0,0.0,0.0004400000034365803,0.0004333333345130086,0.0,0.0004299999854993075,0.00044249999336898327,0.00044571427861228585,0.00046499999007210135,0.0,0.0,0.0,0.00044999999227002263,0.00046999999904073775,0.0004600000102072954
TES,0.00044999999227002263,0.00046333333011716604,0.00044750000233761966,0.0004625000001396984,0.0004225000157020986,0.0,0.00044999999227002263,0.0004450000124052167,0.0004500000213738531,0.0,0.0,0.00043769230251200497,0.0,0.00046666665002703667,0.00047500000800937414,0.0,0.0,0.00045499997213482857,0.00044999999227002263,0.0
SMARCB1,0.0,0.000455000001238659,0.0,0.00046999999904073775,0.0004500000213738531,0.0004600000102072954,0.0,0.0004433333233464509,0.0004400000034365803,0.0004400000034365803,0.0,0.00046999999904073775,0.0004500000213738531,0.000455000001238659,0.0,0.0,0.0,0.0,0.0004600000102072954,0.0004600000102072954
CREG1,0.0004637500096578151,0.00046315789222717285,0.0,0.0004622222331818193,0.0004299999854993075,0.00047500000800937414,0.0,0.0004199999966658652,0.0004400000034365803,0.0004600000102072954,0.0,0.0004400000034365803,0.0004400000034365803,0.0,0.000476666638860479,0.00047500000800937414,0.00046999999904073775,0.0004633333010133356,0.0,0.0
NADK,0.0,0.0004671428760048002,0.00046999999904073775,0.00047400002949871123,0.0004349999944679439,0.0,0.0,0.00046999999904073775,0.0004600000102072954,0.00046999999904073775,0.0,0.00046666665002703667,0.0004614285717252642,0.0,0.0,0.0,0.0,0.00046999999904073775,0.0,0.0
CLTB,0.0,0.0004799999878741801,0.0004799999878741801,0.0005000000237487257,0.00044999999227002263,0.0004866666567977518,0.0,0.0,0.0,0.0004799999878741801,0.0005000000237487257,0.0004600000102072954,0.00046666665002703667,0.0004900000058114529,0.0,0.0,0.0,0.0004600000102072954,0.0,0.0004600000102072954
NME2,0.0005000000237487257,0.0004755555419251323,0.0,0.0004637500096578151,0.00046999999904073775,0.00046499999007210135,0.00046999999904073775,0.0,0.0,0.0,0.0,0.0,0.0004600000102072954,0.0,0.0004900000058114529,0.0,0.0004799999878741801,0.0,0.0,0.0
