,Plasma cells,Classical monocytes,Alveolar fibroblasts,AT1,B cells,Monocyte-derived Mph,CD8 T cells,Pericytes,CD4 T cells,EC general capillary,AT2,Alveolar macrophages,Peribronchial fibroblasts,EC aerocyte capillary,Mast cells,Myofibroblasts
SCAMP4,0.00024485832545906305,0.0,0.0,0.0,0.00024485832545906305,0.00024485832545906305,0.00024485832545906305,0.00024485832545906305,0.00024485832545906305,0.0,0.00024485832545906305,0.00024485832545906305,0.0,0.0,0.00024485832545906305,0.00024485832545906305
VEGFA,0.0,0.0002453344059176743,0.0002453344059176743,0.00024533437681384385,0.0,0.00024533437681384385,0.0002453344059176743,0.0,0.0002453344059176743,0.0,0.00024533437681384385,0.0002453344059176743,0.0002453344059176743,0.0,0.0002453344059176743,0.0002453344059176743
TNFRSF1B,0.0,0.00024776995996944606,0.00024776995996944606,0.0,0.0,0.00024776995996944606,0.00024776995996944606,0.00024776995996944606,0.00024776995996944606,0.00024776995996944606,0.00024776995996944606,0.00024776995996944606,0.0,0.00024776995996944606,0.0,0.0
IGFBP5,0.0002488222380634397,0.0,0.00024882220895960927,0.0002488222380634397,0.0002488222380634397,0.0002488222380634397,0.0,0.0002488222380634397,0.0002488222380634397,0.0002488222380634397,0.0002488222380634397,0.0002488222380634397,0.0002488222380634397,0.0,0.0,0.0002488222380634397
NADK,0.0,0.0002491849008947611,0.0002491849008947611,0.0002491849008947611,0.0002491849008947611,0.0002491849008947611,0.0,0.0002491849008947611,0.0002491849008947611,0.0002491849008947611,0.0002491849008947611,0.0002491849008947611,0.0,0.0,0.0,0.0
SELPLG,0.00024950088118202984,0.00024950088118202984,0.0,0.0,0.00024950088118202984,0.00024950088118202984,0.00024950088118202984,0.00024950088118202984,0.00024950088118202984,0.00024950088118202984,0.00024950088118202984,0.00024950088118202984,0.0,0.00024950088118202984,0.0,0.0
TNFAIP3,0.00024987521464936435,0.00024987521464936435,0.00024987521464936435,0.00024987521464936435,0.0,0.00024987521464936435,0.00024987521464936435,0.0,0.00024987521464936435,0.0,0.00024987521464936435,0.00024987521464936435,0.0,0.0,0.00024987521464936435,0.0
CDK4,0.0,0.0,0.0002511250786483288,0.0002511250786483288,0.0,0.0002511250786483288,0.0002511250786483288,0.0002511250786483288,0.0002511250786483288,0.0002511250786483288,0.0002511250786483288,0.0002511250786483288,0.0002511250786483288,0.0002511250786483288,0.0002511250786483288,0.0002511250786483288
ERRFI1,0.0,0.0,0.0002517567772883922,0.00025175680639222264,0.0,0.00025175680639222264,0.0,0.0,0.0,0.00025175680639222264,0.0002517567772883922,0.00025175680639222264,0.00025175680639222264,0.0,0.00025175680639222264,0.0
NINJ1,0.0,0.00025290451594628394,0.00025290451594628394,0.00025290451594628394,0.00025290451594628394,0.0002529045450501144,0.00025290451594628394,0.00025290451594628394,0.00025290451594628394,0.00025290451594628394,0.00025290451594628394,0.00025290451594628394,0.00025290451594628394,0.00025290451594628394,0.00025290451594628394,0.00025290451594628394
IRF7,0.0,0.0002546474279370159,0.0002546474279370159,0.0002546474279370159,0.0002546474279370159,0.0002546474279370159,0.0002546474279370159,0.0002546474279370159,0.0002546474279370159,0.0002546474279370159,0.0002546474279370159,0.0002546474279370159,0.0,0.0002546474279370159,0.0,0.0002546474279370159
TERF2,0.0,0.00026588106993585825,0.00026588106993585825,0.0,0.00026588106993585825,0.00026588106993585825,0.00026588106993585825,0.0,0.00026588106993585825,0.0,0.00026588106993585825,0.0,0.0,0.0,0.00026588106993585825,0.0
IQGAP2,0.0,0.0,0.0002668792149052024,0.0,0.0,0.0002668792731128633,0.0002668792149052024,0.0,0.0002668792731128633,0.0,0.0002668792149052024,0.0002668792149052024,0.0,0.0002668792149052024,0.0,0.0
MAPKAPK5,0.0,0.0,0.0002670148678589612,0.0,0.0002670148678589612,0.0002670148678589612,0.0002670148678589612,0.0,0.0002670148678589612,0.0002670148678589612,0.0002670148678589612,0.0002670148678589612,0.0,0.0002670148678589612,0.0,0.0002670148678589612
GMFG,0.00026702406466938555,0.00026702406466938555,0.00026702406466938555,0.00026702406466938555,0.00026702406466938555,0.000267024093773216,0.00026702406466938555,0.00026702406466938555,0.000267024093773216,0.00026702406466938555,0.00026702406466938555,0.00026702406466938555,0.0,0.00026702406466938555,0.00026702406466938555,0.0
TNFAIP2,0.0,0.00027026631869375706,0.00027026631869375706,0.0,0.0,0.0002702662313822657,0.0,0.00027026631869375706,0.00027026631869375706,0.00027026631869375706,0.00027026631869375706,0.00027026631869375706,0.0,0.0,0.0,0.00027026631869375706
SOD1,0.0,0.0,0.00027092185337096453,0.0,0.0,0.00027092185337096453,0.00027092185337096453,0.00027092185337096453,0.00027092185337096453,0.00027092185337096453,0.00027092185337096453,0.00027092185337096453,0.00027092185337096453,0.00027092185337096453,0.00027092185337096453,0.00027092185337096453
HTATIP2,0.00027224860968999565,0.00027224860968999565,0.00027224860968999565,0.00027224860968999565,0.00027224860968999565,0.00027224860968999565,0.00027224860968999565,0.00027224860968999565,0.00027224860968999565,0.00027224860968999565,0.00027224860968999565,0.00027224860968999565,0.00027224860968999565,0.00027224860968999565,0.0,0.0
SREBF1,0.0,0.00027593053528107703,0.00027593053528107703,0.00027593053528107703,0.0,0.00027593053528107703,0.00027593053528107703,0.0,0.00027593053528107703,0.00027593053528107703,0.00027593053528107703,0.00027593053528107703,0.00027593053528107703,0.0,0.0,0.00027593053528107703
PEX19,0.00027807781589217484,0.0,0.00027807781589217484,0.00027807781589217484,0.0,0.00027807781589217484,0.00027807781589217484,0.00027807781589217484,0.00027807781589217484,0.0,0.00027807781589217484,0.00027807781589217484,0.0,0.00027807781589217484,0.0,0.0
FAS,0.0,0.0,0.00027839027461595833,0.00027839027461595833,0.00027839027461595833,0.00027839027461595833,0.0,0.00027839027461595833,0.00027839027461595833,0.00027839027461595833,0.00027839027461595833,0.00027839027461595833,0.00027839027461595833,0.0,0.0,0.0
SYK,0.0002789347490761429,0.0002789347490761429,0.0002789347490761429,0.0002789347490761429,0.0002789347490761429,0.0002789348072838038,0.0,0.0002789347490761429,0.0,0.0002789347490761429,0.0002789347490761429,0.00027893477817997336,0.0,0.0002789347490761429,0.0,0.0002789347490761429
SMPD1,0.00028660608222708106,0.0,0.00028660608222708106,0.00028660608222708106,0.0,0.00028660608222708106,0.0,0.00028660608222708106,0.0002866061113309115,0.00028660608222708106,0.00028660608222708106,0.00028660608222708106,0.00028660608222708106,0.00028660608222708106,0.0,0.00028660608222708106
DPY30,0.0002878494269680232,0.0002878494269680232,0.0002878494269680232,0.0002878494269680232,0.0002878494269680232,0.0002878494269680232,0.0002878494269680232,0.0,0.0002878494269680232,0.0002878494269680232,0.0002878494269680232,0.0002878494269680232,0.0,0.0002878494269680232,0.0,0.0002878494269680232
BRAF,0.00028850874514319,0.00028850874514319,0.00028850874514319,0.0,0.0,0.00028850874514319,0.0,0.0,0.00028850874514319,0.00028850874514319,0.00028850874514319,0.0,0.00028850874514319,0.00028850874514319,0.0,0.0
MYC,0.00028884460334666073,0.0,0.00028884460334666073,0.0,0.0,0.00028884460334666073,0.00028884460334666073,0.00028884460334666073,0.00028884460334666073,0.0,0.00028884460334666073,0.00028884460334666073,0.00028884460334666073,0.0,0.0,0.00028884460334666073
CKB,0.0,0.0002890118630602956,0.0002890118630602956,0.0002890118630602956,0.0002890118630602956,0.0002890118630602956,0.0,0.0002890118630602956,0.0002890118630602956,0.0,0.0002890117757488042,0.0002890118630602956,0.0,0.0,0.0,0.0002890118630602956
SMARCB1,0.00028968258993700147,0.0,0.0,0.0,0.00028968258993700147,0.000289682560833171,0.00028968258993700147,0.00028968258993700147,0.00028968258993700147,0.0,0.000289682560833171,0.0,0.0,0.00028968258993700147,0.0,0.0
ACVR1B,0.0,0.0,0.00029120102408342063,0.00029120102408342063,0.0,0.00029120102408342063,0.0,0.00029120102408342063,0.00029120102408342063,0.00029120102408342063,0.00029120102408342063,0.0,0.0,0.0,0.00029120102408342063,0.0
PMVK,0.0002919660764746368,0.0,0.0002919660764746368,0.0002919660764746368,0.0002919660764746368,0.00029196610557846725,0.0002919660764746368,0.0002919660764746368,0.0002919660764746368,0.0002919660764746368,0.00029196610557846725,0.0002919660764746368,0.0,0.0,0.0,0.0
PIK3R5,0.0,0.00029222408193163574,0.0002922240528278053,0.0,0.0002922240528278053,0.0002922240528278053,0.0002922240528278053,0.0,0.00029222408193163574,0.0002922240528278053,0.0002922240528278053,0.0002922240528278053,0.0,0.0,0.0,0.0
SERPINE1,0.0,0.0,0.0002929886104539037,0.0002929886104539037,0.0,0.0002929886104539037,0.0,0.0002929886104539037,0.0,0.0,0.0002929886104539037,0.0,0.0,0.0002929886104539037,0.0,0.0002929886104539037
HPS5,0.0,0.0,0.0002954990486614406,0.0002954990486614406,0.0002954990486614406,0.00029549907776527107,0.0002954990486614406,0.0,0.00029549907776527107,0.0002954990486614406,0.0002954990486614406,0.0002954990486614406,0.0,0.0002954990486614406,0.0,0.0
ISG15,0.0,0.0002956738171633333,0.0002956738171633333,0.0002956738171633333,0.0,0.0002956738171633333,0.0,0.0002956738171633333,0.0002956738171633333,0.0002956738171633333,0.0002956738171633333,0.00029567378805950284,0.0,0.0002956738171633333,0.0002956738171633333,0.0
AREG,0.00029647015617229044,0.00029647015617229044,0.00029647015617229044,0.00029647015617229044,0.0,0.00029647015617229044,0.00029647015617229044,0.0,0.00029647015617229044,0.0,0.0002964701852761209,0.00029647015617229044,0.0,0.0,0.00029647015617229044,0.00029647015617229044
CCND1,0.0002981458092108369,0.0,0.0002981458092108369,0.0002981458092108369,0.0,0.00029814583831466734,0.0,0.0002981458092108369,0.0,0.0002981458092108369,0.0002981457218993455,0.0002981458092108369,0.0,0.0002981458092108369,0.0,0.0
GRK6,0.0,0.00029823079239577055,0.00029823079239577055,0.0,0.00029823079239577055,0.00029823079239577055,0.00029823079239577055,0.0,0.0002982307632919401,0.0,0.00029823079239577055,0.00029823079239577055,0.00029823079239577055,0.0,0.0,0.0
PRPF19,0.0002990314969792962,0.0,0.0002990314969792962,0.0,0.0002990314969792962,0.0002990314969792962,0.0,0.0002990314969792962,0.0002990314969792962,0.0,0.0002990314969792962,0.0,0.0002990314969792962,0.0002990314969792962,0.0,0.0
G6PD,0.0,0.0002996591792907566,0.0002996591792907566,0.0002996591792907566,0.0,0.00029965912108309567,0.0,0.0002996591792907566,0.0002996591792907566,0.0002996591792907566,0.0002996591501869261,0.0002996591792907566,0.0002996591792907566,0.0,0.0,0.0
ZNF148,0.0,0.0,0.0003023776225745678,0.0003023776225745678,0.0003023776225745678,0.0003023776225745678,0.0,0.0,0.0003023776225745678,0.0003023776225745678,0.0003023776225745678,0.0003023776225745678,0.0,0.0,0.0,0.0
LIMK1,0.00030542531749233603,0.00030542531749233603,0.00030542531749233603,0.00030542531749233603,0.0,0.0003054253465961665,0.00030542531749233603,0.00030542531749233603,0.00030542531749233603,0.00030542531749233603,0.0003054253465961665,0.0003054253465961665,0.00030542531749233603,0.00030542531749233603,0.00030542531749233603,0.00030542531749233603
MAP3K7,0.000308154005324468,0.0,0.000308154005324468,0.0,0.000308154005324468,0.000308154005324468,0.000308154005324468,0.0,0.000308154005324468,0.0,0.000308154005324468,0.000308154005324468,0.000308154005324468,0.000308154005324468,0.0,0.0
FASTK,0.0,0.00030882161809131503,0.00030882161809131503,0.0,0.00030882161809131503,0.00030882161809131503,0.00030882161809131503,0.0,0.00030882161809131503,0.0,0.00030882161809131503,0.00030882161809131503,0.0,0.00030882161809131503,0.00030882161809131503,0.0
MAP3K6,0.0,0.0,0.0003095921128988266,0.0,0.0,0.0003095921128988266,0.0,0.0003095921128988266,0.0,0.0003095921128988266,0.0003095921128988266,0.0003095921128988266,0.0,0.0,0.0,0.0003095921128988266
MAP2K7,0.0,0.0003115208528470248,0.0003115208528470248,0.0003115208528470248,0.0,0.0003115208528470248,0.0003115208528470248,0.0003115208528470248,0.0003115208528470248,0.0003115208528470248,0.0003115208528470248,0.0,0.0,0.0003115208528470248,0.0,0.0
RRAS,0.0,0.0,0.0003145514347124845,0.0003145514347124845,0.0,0.0003145514347124845,0.0003145514347124845,0.0003145514347124845,0.0003145514347124845,0.0003145514347124845,0.0003145514347124845,0.0003145514347124845,0.0,0.0003145514347124845,0.0,0.0
CXCL2,0.0,0.0003146523085888475,0.0003146523085888475,0.0,0.0,0.00031465227948501706,0.0003146523085888475,0.0,0.0,0.0,0.0003146523085888475,0.0003146523085888475,0.0,0.0,0.0,0.0003146523085888475
SRC,0.0,0.0,0.00032142578857019544,0.00032142578857019544,0.0,0.00032142578857019544,0.0,0.0,0.00032142578857019544,0.0,0.000321425759466365,0.00032142578857019544,0.00032142578857019544,0.0,0.0,0.0
EGFR,0.0,0.0,0.0003217401681467891,0.0003217401681467891,0.0,0.0003217401681467891,0.0,0.0003217401681467891,0.0,0.0003217401681467891,0.00032174019725061953,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.00032205204479396343,0.00032205204479396343,0.0,0.00032205204479396343,0.0,0.00032205204479396343,0.00032205204479396343,0.00032205204479396343,0.00032205204479396343,0.00032205204479396343,0.00032205204479396343,0.0,0.0,0.0
CXCL12,0.0,0.0,0.00032797217136248946,0.0,0.0,0.000327972142258659,0.0,0.00032797217136248946,0.00032797217136248946,0.00032797217136248946,0.00032797217136248946,0.0,0.00032797217136248946,0.00032797217136248946,0.0,0.0
PTBP1,0.00032936656498350203,0.0,0.0,0.0,0.00032936656498350203,0.00032936656498350203,0.0,0.0,0.00032936656498350203,0.0,0.00032936656498350203,0.00032936656498350203,0.0,0.0,0.0,0.0
FILIP1L,0.0,0.0,0.0003298030060250312,0.0003298030060250312,0.0,0.0003298030060250312,0.0003298030060250312,0.0003298030060250312,0.0003298030060250312,0.0003298030060250312,0.0003298030060250312,0.0003298030060250312,0.0003298030060250312,0.0,0.0,0.0003298030060250312
AXL,0.0003317744703963399,0.0,0.0003317744703963399,0.0,0.0003317744703963399,0.00033177444129250944,0.0,0.0003317744703963399,0.0003317744703963399,0.0003317744703963399,0.0003317744703963399,0.0003317744703963399,0.0003317744703963399,0.0,0.0,0.0003317744703963399
TP53,0.00033420862746424973,0.0,0.00033420862746424973,0.0,0.00033420862746424973,0.00033420862746424973,0.0,0.0,0.00033420862746424973,0.00033420862746424973,0.00033420862746424973,0.00033420862746424973,0.00033420862746424973,0.00033420862746424973,0.0,0.0
