,SPP1+ macrophages,AT2,MUC5B+ club,Monocyte-derived macrophage,CD4+ T Cells,EC Arterial,Dendritic cells,Fibrotic fibroblast,Alveolar macrophages,Smooth muscle cells,Mast cells,KRT5-/KRT17+ cells,EC Venous,SCGB3A2+/SCGB1A1+ club,Plasma cells,Goblet,Ciliated,Pericyte,EC General capillary
MAP3K6,0.0,0.0004961860249750316,0.00047132596955634654,0.0005039912066422403,0.00047867497778497636,0.0004887990071438253,0.0,0.0004811403632629663,0.0,0.0,0.0004990883753634989,0.000488822057377547,0.0004949404974468052,0.0,0.0004874363949056715,0.0,0.000497946806717664,0.0004946190747432411,0.0004895887686870992
ID4,0.0,0.0004963696701452136,0.00048432734911330044,0.0005030185566283762,0.0004833601415157318,0.0,0.0,0.00048612389946356416,0.0,0.0004927952541038394,0.0004920461215078831,0.00048094044905155897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMB5,0.0,0.0004932264564558864,0.0,0.0005024884594604373,0.000502539100125432,0.0004937566118314862,0.0005006192368455231,0.0004806879151146859,0.000483093986986205,0.0005038195522502065,0.0,0.00048569554928690195,0.0,0.000517310865689069,0.0004829016688745469,0.0005214089178480208,0.0005009348969906569,0.0004880980122834444,0.0
GRK6,0.0,0.0,0.0005067993188276887,0.0005145188188180327,0.0004846635274589062,0.0,0.0,0.0004928675480186939,0.0004969291039742529,0.0005093440413475037,0.0004973415052518249,0.0005093336803838611,0.0,0.0,0.0,0.0,0.0005066579324193299,0.0,0.0005102774011902511
HRAS,0.0,0.0004922999651171267,0.000493119063321501,0.0,0.00047733905375935137,0.0005062530981376767,0.0,0.00049915153067559,0.00049704744014889,0.0,0.0004963682731613517,0.0005061632255092263,0.0005058908718638122,0.0,0.0,0.0,0.0004976711934432387,0.0005015329224988818,0.0
STK40,0.0,0.0005129477940499783,0.0,0.0004760432639159262,0.0004819242167286575,0.0,0.0005301802884787321,0.0005043655401095748,0.0004967001150362194,0.0005028037703596056,0.0,0.0004931607400067151,0.0,0.0,0.0,0.0,0.0005217246362008154,0.0,0.0005076478701084852
HTATIP2,0.0,0.0,0.0005188885261304677,0.0005212390096858144,0.0004964601248502731,0.0005233021802268922,0.000511881138663739,0.0,0.0005039548268541694,0.0,0.0004885682719759643,0.0005221090978011489,0.0005179209401831031,0.0,0.0,0.0,0.0005449052550829947,0.0005229656817391515,0.0005254336865618825
PMVK,0.0,0.0005231113755144179,0.0005179797881282866,0.0005110912607051432,0.0005025581922382116,0.0,0.0,0.0005066790035925806,0.0005249481182545424,0.0005158520070835948,0.0,0.0005280256737023592,0.0005196514539420605,0.0,0.0,0.0,0.0005163588793948293,0.0,0.0
SP1,0.0,0.00051200418965891,0.0,0.0,0.000527598662301898,0.0005212479154579341,0.0005167598719708622,0.0005117630935274065,0.0,0.0,0.0005319989286363125,0.0004806996148545295,0.0005043328274041414,0.0,0.0005032625049352646,0.0,0.000518966990057379,0.0,0.0
ERRFI1,0.0005189516814425588,0.0005147826741449535,0.0005031987675465643,0.0005189041839912534,0.0004929028800688684,0.0005381623050197959,0.0,0.0005137123516760767,0.0005057388334535062,0.0,0.0,0.0005171744851395488,0.0,0.0005390254664234817,0.0005288147949613631,0.0,0.0,0.0005087762256152928,0.0
CYP1B1,0.0,0.0005213902331888676,0.0,0.0,0.0005111080827191472,0.0005205528577789664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYC,0.0005321835051290691,0.0005256637814454734,0.0005208814982324839,0.0005349863786250353,0.0005092326318845153,0.0005478496896103024,0.0005244554486125708,0.0005071617779321969,0.0004773588734678924,0.0,0.0,0.0005028577288612723,0.0005365915130823851,0.0,0.0,0.0,0.0,0.0,0.0
STAT5B,0.0,0.000543041795026511,0.0005062989657744765,0.0005177621496841311,0.00051415542839095,0.0005382663803175092,0.0,0.0005242341430857778,0.0004932006122544408,0.0005447759758681059,0.0,0.000502119364682585,0.0,0.0,0.0005832637543790042,0.0005579546559602022,0.0,0.0,0.0005237115547060966
SELPLG,0.0005283131613396108,0.0005336081376299262,0.0,0.0005291266716085374,0.0005180133739486337,0.0005616924026980996,0.0005264036008156836,0.0,0.0005093957297503948,0.0,0.0005240151076577604,0.0,0.0005295801092870533,0.0,0.0005806077388115227,0.0,0.0,0.0,0.0
IGFBP2,0.0,0.0,0.0005151747609488666,0.0,0.0005349665880203247,0.0005313544534146786,0.0,0.0005314708687365055,0.0,0.0005218347650952637,0.0,0.0005238329758867621,0.0,0.0005569932400248945,0.0006424204912036657,0.0005460367538034916,0.0005344737437553704,0.000518041430041194,0.0
RRAS,0.0005424168193712831,0.0005509143229573965,0.0,0.0005597325507551432,0.0005216847639530897,0.0005385872209444642,0.0,0.0005325595266185701,0.0,0.0005473492201417685,0.0,0.0005534070660360157,0.0005458168452605605,0.0,0.0005579746793955564,0.0,0.0,0.0,0.0005455325590446591
GMFG,0.0,0.0,0.0005534683004952967,0.000548685435205698,0.0005366122932173312,0.0,0.0005403417162597179,0.0005466673756018281,0.0005302969366312027,0.0,0.0005568575579673052,0.0,0.0,0.0005839475197717547,0.0006204426172189415,0.0,0.0,0.0,0.0005525127635337412
LIMK1,0.0,0.0005717785679735243,0.0,0.0005825046100653708,0.0005272090784274042,0.0005635314737446606,0.0,0.0005431298050098121,0.0005427247378975153,0.0005669936654157937,0.0005660441238433123,0.0005507748574018478,0.0,0.0,0.0,0.0,0.0,0.0005470115575008094,0.0005738158943131566
DPY30,0.0005570839275605977,0.0005747814429923892,0.0,0.0,0.0005417089560069144,0.0,0.0,0.0005565176834352314,0.0,0.0,0.0,0.0005337238544598222,0.0,0.0,0.0,0.0,0.0005712692509405315,0.0005421958630904555,0.0
HPS5,0.0005793224554508924,0.0005622333846986294,0.0005480945110321045,0.000578057486563921,0.0005314210429787636,0.0,0.0005683540366590023,0.0005595154361799359,0.0005428914446383715,0.0005573754897341132,0.0005556592368520796,0.0005675503634847701,0.0005699144094251096,0.0005796517943963408,0.0,0.0,0.000585507950745523,0.0005637983558699489,0.0
TP53,0.0,0.0005813995958305895,0.0005730872508138418,0.0005813705502077937,0.0005576646653935313,0.0005883396952413023,0.0005960743874311447,0.000579966465011239,0.0005833428585901856,0.0005886838189326227,0.0,0.000580670777708292,0.0005904679419472814,0.0,0.0,0.0,0.0,0.0005588338826783001,0.0005877650110051036
FGF7,0.0,0.0,0.0,0.0,0.0,0.0005893696798011661,0.0,0.0005729406257160008,0.0005861692479811609,0.0,0.0,0.0,0.0,0.0,0.0006505483761429787,0.0,0.0,0.0,0.0
